time,open,high,low,close,Volume,volumeMA
1609113600,26251.90,26368.56,26236.29,26339.10,205.41,
1610683320,38613.01,38618.59,38599.87,38614.67,135.25,
1610683380,38548.05,38576.25,38522.31,38574.95,218.00,
1610683440,38585.33,38768.31,38584.00,38752.88,264.21,
1610683500,38753.52,38789.99,38727.13,38785.53,181.93,
1610683560,38787.11,38804.59,38744.52,38744.86,140.64,
1610683620,38745.50,38760.49,38663.25,38665.47,119.70,
1610683680,38657.45,38710.92,38645.53,38679.47,86.39,
1610683740,38675.31,38678.17,38553.18,38564.57,99.32,
1610683800,38556.90,38561.53,38490.42,38497.21,142.11,
1610683860,38495.05,38576.24,38444.92,38567.31,137.40,
1610683920,38569.94,38579.05,38451.40,38504.84,82.39,
1610683980,38523.16,38530.16,38443.81,38464.00,109.69,
1610684040,38458.06,38523.11,38425.99,38489.27,115.72,
1610684100,38481.23,38563.40,38463.23,38534.20,113.03,
1610684160,38528.05,38529.47,38416.43,38435.68,89.84,
1610684220,38432.93,38441.21,38358.01,38382.98,155.85,
1610684280,38384.21,38402.76,38353.84,38362.45,168.60,
1610684340,38359.04,38370.99,38336.00,38358.58,131.43,
1610684400,38360.92,38423.74,38358.29,38400.08,175.20,143.61
1610684460,38400.81,38436.09,38389.39,38409.97,111.63,138.92
1610684520,38405.43,38405.84,38346.74,38356.18,93.08,136.81
1610684580,38351.28,38445.98,38348.52,38437.28,165.75,134.20
1610684640,38438.74,38534.03,38433.21,38506.87,365.13,139.24
1610684700,38507.28,38525.98,38495.61,38520.22,351.12,147.70
1610684760,38521.73,38560.05,38432.67,38456.02,113.14,146.33
1610684820,38459.10,38467.26,38399.47,38430.38,144.95,147.59
1610684880,38434.48,38543.58,38429.03,38532.29,94.35,147.99
1610684940,38530.59,38543.59,38468.90,38470.52,93.75,147.71
1610685000,38464.39,38467.49,38350.27,38368.14,82.39,144.72
1610685060,38370.30,38423.49,38357.39,38420.06,210.21,148.36
1610685120,38428.26,38577.22,38423.15,38575.45,186.83,153.59
1610685180,38574.80,38582.71,38512.08,38556.77,126.80,154.44
1610685240,38553.66,38719.52,38553.66,38655.23,258.31,161.57
1610685300,38654.86,38720.29,38648.93,38684.33,262.65,169.05
1610685360,38673.52,38676.85,38625.24,38635.06,127.38,170.93
1610685420,38635.64,38637.21,38562.63,38563.54,100.04,168.14
1610685480,38558.93,38612.62,38532.58,38563.58,103.81,164.90
1610685540,38573.18,38644.78,38573.18,38595.15,273.01,171.98
1610685600,38589.93,38597.17,38570.89,38575.17,147.60,170.60
1610685660,38570.26,38572.97,38538.94,38551.37,91.72,169.60
1610685720,38549.17,38670.42,38543.07,38655.48,176.59,173.78
1610685780,38660.66,38692.45,38650.50,38667.62,151.26,173.05
1610685840,38668.81,38673.71,38651.88,38653.71,123.50,160.97
1610685900,38652.20,38722.59,38649.22,38703.45,94.37,148.13
1610685960,38699.03,38739.55,38673.92,38700.40,128.18,148.88
1610686020,38691.97,38694.11,38629.02,38632.46,94.64,146.37
1610686080,38637.89,38653.03,38623.91,38635.23,120.04,147.65
1610686140,38630.39,38635.17,38566.63,38577.46,126.39,149.29
1610686200,38573.66,38576.65,38549.52,38549.52,88.03,149.57
1610686260,38546.07,38637.42,38542.65,38583.41,99.59,144.04
1610686320,38590.59,38636.90,38558.56,38561.31,61.71,137.78
1610686380,38566.06,38585.17,38545.33,38550.53,81.04,135.49
1610686440,38551.18,38585.63,38546.22,38556.88,80.92,126.62
1610686500,38557.49,38631.72,38540.71,38543.66,120.32,119.51
1610686560,38542.41,38550.41,38446.43,38463.92,84.70,117.37
1610686620,38473.26,38502.36,38464.72,38483.31,123.69,118.56
1610686680,38486.93,38501.17,38473.97,38493.76,42.86,115.51
1610686740,38493.87,38495.86,38401.58,38420.47,57.63,104.74
1610686800,38419.96,38451.68,38395.72,38435.43,50.27,99.87
1610686860,38435.91,38459.91,38423.43,38452.96,111.98,100.89
1610686920,38447.94,38460.05,38436.82,38454.28,131.08,98.61
